Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
The Gold Rush,1925,95 min,"Adventure, Comedy, Drama",8.2,,101053,"5,450,000"
Sherlock Jr.,1924,45 min,"Action, Comedy, Romance",8.2,,41985,"977,375"
Portrait de la jeune fille en feu,2019,122 min,"Drama, Romance",8.1,95,63134,"3,759,854"
Pink,2016,136 min,"Drama, Thriller",8.1,,39216,"1,241,223"
Koe no katachi,2016,130 min,"Animation, Drama, Family",8.1,78,47708,
Contratiempo,2016,106 min,"Crime, Drama, Mystery",8.1,,141516,
Ah-ga-ssi,2016,145 min,"Drama, Romance, Thriller",8.1,84,113649,"2,006,788"
Mommy,2014,139 min,Drama,8.1,74,50700,"3,492,754"
Haider,2014,160 min,"Action, Crime, Drama",8.1,,50445,"901,610"
Logan,2017,137 min,"Action, Drama, Sci-Fi",8.1,77,647884,"226,277,068"
Room,2015,118 min,"Drama, Thriller",8.1,86,371538,"14,677,674"
Relatos salvajes,2014,122 min,"Comedy, Drama, Thriller",8.1,77,177059,"3,107,072"
Soul,2020,100 min,"Animation, Adventure, Comedy",8.1,83,159171,
Kis Uykusu,2014,196 min,Drama,8.1,88,46547,"165,520"
PK,2014,153 min,"Comedy, Drama, Musical",8.1,,163061,"10,616,104"
OMG: Oh My God!,2012,125 min,"Comedy, Drama, Fantasy",8.1,,51739,"923,221"
The Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Crime",8.1,88,707630,"59,100,318"
Gone Girl,2014,149 min,"Drama, Mystery, Thriller",8.1,79,859695,"167,767,189"
Ôkami kodomo no Ame to Yuki,2012,117 min,"Animation, Drama, Fantasy",8.1,71,38803,
Hacksaw Ridge,2016,139 min,"Biography, Drama, History",8.1,71,435928,"67,209,615"
Inside Out,2015,95 min,"Animation, Adventure, Comedy",8.1,94,616228,"356,461,711"
Barfi!,2012,151 min,"Comedy, Drama, Romance",8.1,,75721,"2,804,874"
12 Years a Slave,2013,134 min,"Biography, Drama, History",8.1,96,640533,"56,671,993"
Rush,2013,123 min,"Action, Biography, Drama",8.1,74,432811,"26,947,624"
Ford v Ferrari,2019,152 min,"Action, Biography, Drama",8.1,81,291289,"117,624,028"
Spotlight,2015,129 min,"Biography, Crime, Drama",8.1,93,420316,"45,055,776"
Song of the Sea,2014,93 min,"Animation, Adventure, Drama",8.1,85,51679,"857,524"
Kahaani,2012,122 min,"Mystery, Thriller",8.1,,57806,"1,035,953"
Zindagi Na Milegi Dobara,2011,155 min,"Comedy, Drama",8.1,,67927,"3,108,485"
Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1,70,601149,"61,002,302"
Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1,90,882316,"154,058,340"
A Wednesday,2008,104 min,"Action, Crime, Drama",8.1,,73891,
Gran Torino,2008,116 min,Drama,8.1,72,720450,"148,095,302"
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Drama, Fantasy",8.1,85,764493,"381,011,219"
Okuribito,2008,130 min,"Drama, Music",8.1,68,48582,"1,498,210"
Hachi: A Dog's Tale,2009,93 min,"Biography, Drama, Family",8.1,,253575,
Mary and Max,2009,92 min,"Animation, Comedy, Drama",8.1,,164462,
How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure",8.1,75,666773,"217,581,231"
Into the Wild,2007,148 min,"Adventure, Biography, Drama",8.1,73,572921,"18,354,356"
No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.1,91,856916,"74,283,625"
Lage Raho Munna Bhai,2006,144 min,"Comedy, Drama, Romance",8.1,,43137,"2,217,561"
Million Dollar Baby,2004,132 min,"Drama, Sport",8.1,86,635975,"100,492,203"
Hotel Rwanda,2004,121 min,"Biography, Drama, History",8.1,79,334320,"23,530,892"
Taegukgi hwinalrimyeo,2004,140 min,"Action, Drama, War",8.1,64,37820,"1,111,061"
Before Sunset,2004,80 min,"Drama, Romance",8.1,90,236311,"5,820,649"
Munna Bhai M.B.B.S.,2003,156 min,"Comedy, Drama, Musical",8.1,,73992,
Salinui chueok,2003,131 min,"Crime, Drama, Mystery",8.1,82,139558,"14,131"
Dil Chahta Hai,2001,183 min,"Comedy, Drama, Romance",8.1,,66803,"300,000"
Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Drama",8.1,69,1000639,"70,099,045"
Finding Nemo,2003,100 min,"Animation, Adventure, Comedy",8.1,90,949565,"380,843,261"
Catch Me If You Can,2002,141 min,"Biography, Crime, Drama",8.1,75,832846,"164,615,351"
Amores perros,2000,154 min,"Drama, Thriller",8.1,83,223741,"5,383,834"
"Monsters, Inc.",2001,92 min,"Animation, Adventure, Comedy",8.1,79,815505,"289,916,256"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,"Animation, Action, Drama",8.1,,38847,
Lagaan: Once Upon a Time in India,2001,224 min,"Adventure, Drama, Musical",8.1,84,105036,"70,147"
The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller",8.1,64,911573,"293,506,292"
La leggenda del pianista sull'oceano,1998,169 min,"Drama, Music, Romance",8.1,58,59020,"259,127"
The Truman Show,1998,103 min,"Comedy, Drama",8.1,90,939631,"125,618,201"
"Crna macka, beli macor",1998,127 min,"Comedy, Crime, Romance",8.1,73,50862,"348,660"
The Big Lebowski,1998,117 min,"Comedy, Crime, Sport",8.1,71,732620,"17,498,804"
Fa yeung nin wah,2000,98 min,"Drama, Romance",8.1,85,124383,"2,734,044"
